|Country|Channel Name|Category|Main Video Category|username|followers|Main topic|More topics|Likes|Boost Index|Engagement Rate|Engagement Rate 60days|Views|Views Avg.|Avg. 1 Day|Avg. 3 Day|Avg. 7 Day|Avg. 14 Day|Avg. 30 day|Avg. 60 day|Comments Avg|Youtube Link
613|US|[토이푸딩] ToyPudding TV|Gaming & Apps|Entertainment|[토이푸딩] ToyPudding TV|26600000|Lifestyle|Hobby,Lifestyle,Food|4840587.741163055|75|0.0213462639637863|0.0006391721153443|15550107919|296887.53571428574|||||15105.29411764706|15105.29411764706|28.45267958950969|UCKqx9r4mrFglauNBJc1L_eg
103|US|Dude Perfect|Gaming & Apps|Sports|Dude Perfect|57800000|Lifestyle|Lifestyle|244293352.89626557|82|0.9034190270499216|0.4385109202142169|14560770809|62768767.25|||7017878.0|7017878.0|33821451.666666664|24476021.4|36144.07883817428|UCRijo3ddMTht_IHyNSNXpNQ
104|US|Movieclips|Gaming & Apps|Film & Animation|Movieclips|57300000|Movies|Entertainment,Movies|39953044.14992679|72|0.0026005667886373|0.002025743307597|58434633172|81556.0713562753|2206.2|2206.2|8792.666666666666|35615.544117647056|86779.78205128205|114986.92063492064|65.46459463421786|UC3gNmTGu-TTbFPpfSs5kNkg
106|US|Marshmello|Music|Music|Marshmello|55500000|Electronic music|Music,Hip hop music,Pop music,Electronic music|51156331.514925376|73|0.1114473013984133|0.0054349074223477|13279526225|2716910.5||||85746.0|162863.5|167606.5|5497.365671641791|UCEdvpU2pFRCVqU6yIPyTpMQ
642|US|KatyPerryVEVO|Gaming & Apps|Music|KatyPerryVEVO|24800000|Pop music|Music,Pop music|69822504.30681819|83|1.4573080938416425|0.0173847012463343|22561778561|28462813.0|0.0|0.0|0.0|0.0|0.0|0.0|22821.852272727272|UC-8Q-hLdECwQmaWNwXitYDw
640|US|Nick Jr.||Film & Animation|Nick Jr.|24900000|Movies|Movies,TV shows,Entertainment|9113271.348421453|58|0.0265477270938681|0.0206714018250524|20429943688|541040.1567460317|45840.333333333336|76337.22222222222|114274.2105263158|146453.1794871795|386031.1219512195|512730.7647058824|16.703689615823507|UCUe6ZpY6TJ0no8jI4l2iLxw
636|US|Smosh|Gaming & Apps|Comedy|Smosh|25000000|Entertainment|Entertainment,Lifestyle,Movies|63423871.89247312|82|0.0549780104301075|0.0183222231336405|10167665364|1668707.5||191825.0|226571.0|221784.3333333333|293990.92307692306|408676.8928571429|2467.537634408602|UCY30JRSgfhYXA6i6xX1erWg
635|US|RihannaVEVO|Gaming & Apps|Music|RihannaVEVO|25200000|Rhythm and blues|Pop music,Rhythm and blues,Hip hop music,Music,Electronic music|102787670.0|41|6.431747196031746|0.0401622261904761|17967902245|88722202.0|0.0|0.0|0.0|0.0|0.0|0.0|42393.1|UC2xskkQVFEpLcGFnNSLQY0A
634|US|Vlad và Nikita||Entertainment|Vlad và Nikita|25300000|Lifestyle|Music,Hobby,Lifestyle|38015965.40585774|79|1.0507179145746164|0.1697560233304618|16055918867|33811028.5|660250.0|660250.0|1110927.0|1112283.2|1857361.0|3977411.823529412|0.0|UCcOMTVILq-yIqtFmOqt-QOg
630|US|व्लाद और निकिता||Entertainment|व्लाद और निकिता|25500000|Lifestyle|Hobby,Lifestyle|29021658.206521746|1|0.5834675135549873|0.0537455904518329|15541923143|17177309.5|8062.0|8062.0|544836.6666666666|608384.2|894343.9|1300580.85|0.0|UCUMxxg0KvWiSWHUXRPpnKzw
627|US|Diana and Roma ESP||Entertainment|Diana and Roma ESP|25600000|Lifestyle|Hobby,Lifestyle,Entertainment|18259274.39679359|72|0.3367404973083422|0.1076583623613239|9951799519|7731874.0||453704.0|712886.0|919497.6666666666|1923808.5714285716|2707562.466666667|0.0|UCqNmJfc7RgMU6hTxOOuCYHQ
626|US|VanossGaming|Gaming & Apps|Gaming|VanossGaming|25700000|Gaming|Gaming,Action game,Role-playing video game,Action-adventure game|124485316.50655022|81|0.0919130035285655|0.0529765008498484|14814514676|2925753.9375|485906.0|678235.0|827726.5|1083820.857142857|1156336.7333333334|1280756.8709677418|1145.0087336244542|UCKqH_9mk1waLgBiL2vT5b9g
